ÃÄ«~¥N½X,ÃÄ«~¦WºÙ,¼Æ¶q
A000015421,SULFAMETHOXAZOLE ¡A ²´¥Î²G¾¯ ¡A 20.00  MG/ML ¡A 5.00 ML,0
A000023100,ISONIAZID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A000072100,EPHEDRINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,2695.5
A000076100,ACETAMINOPHEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,530741.1
A000096100,DIPHENHYDRAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,482086.2
A000098100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,0
A000106100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,15
A000137151,GLYCYRRHIZIC ACID 0.12ML/ML + ANTIMONY POTASSIUM TARTRATE 0.24MG/ML¡A ¤fªA²G¾¯¡A 60.00ML,518
A000173100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,6895169.5
A000177100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A000186100,ESTRADIOL 50MCG + NORGESTREL 500MCG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A000199100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
A000208100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A000315100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,0
A000373100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A000389100,DIMETHICONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,347283.2
A000415100,DIMETHICONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,32439466.3
A000419229,DEXAMETHASONE ¡A ª`®g¾¯ ¡A 20.00 MG,0
A000428100,BUTYLSCOPOLAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
A000429100,NALIDIXIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,120
A000480209,EPINEPHRINE ¡A ª`®g¾¯ ¡A 1.00 MG,0
A000506100,NIACINAMIDE (=NICOTINAMIDE) 50.000MG + CALCIUM PHOSPHATE DIBASIC 50.000MG + VITAMIN A (PALMITATE) 2500.000IU + THIAMINE MONONITRATE 10.000MG + RIBOFLAVIN (=VIT B2) 5.000MG + PYRIDOXINE HCL 5.000MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A000518100,OXYTETRACYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A000519100,TETRACYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
